'eventId','timestamp','srcIp','srcName','dstIp','dstName','srcPort','dstPort','sigName','sigId','status_type','status_value',
'6567504096564281','1557261488.535','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564280','1557261488.152','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564279','1557261487.019','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564278','1557261485.874','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564276','1557261483.767','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564282','1557261483.581','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564273','1557261482.832','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564272','1557261482.271','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564271','1557261481.691','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564267','1557261436.128','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564262','1557261435.922','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564256','1557261435.736','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564245','1557261434.594','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564238','1557261434.409','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564243','1557261434.023','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564233','1557261432.674','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564227','1557261428.887','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564216','1557261428.701','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564222','1557261427.929','10.25.0.41','','10.24.219.2','','445','58258','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564215','1557261422.959','10.25.0.41','','10.24.219.2','','445','58148','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564211','1557261419.015','10.25.0.41','','10.24.219.2','','445','57692','ET EXPLOIT Possible DOUBLEPULSAR Beacon Response','1:2024216','4','4',
'6567504096564201','1557261404.316','10.24.219.2','','10.25.0.41','','54379','445','ET EXPLOIT ETERNALBLUE Exploit M2 MS17-010','1:2024297','0','0',
'6567504096564200','1557261403.913','10.25.0.41','','10.24.219.2','','445','54379','ET EXPLOIT Possible ETERNALBLUE MS17-010 Echo Response','1:2024218','4','4',
'6567504096564199','1557261394.049','10.25.0.41','','10.24.219.2','','445','54379','ET EXPLOIT Possible ETERNALBLUE MS17-010 Echo Response','1:2024218','4','4',
'6567504096564193','1557261391.508','10.24.219.2','','10.25.0.41','','54379','445','ET EXPLOIT Possible ETERNALBLUE MS17-010 Heap Spray','1:2024217','0','0',
'6567504096564191','1557261382.286','10.25.0.41','','10.24.219.2','','445','53455','ET EXPLOIT ETERNALBLUE Probe Vulnerable System Response MS17-010','1:2025650','4','4',
'6567504096564161','1557261375.761','10.24.219.2','','10.25.0.39','','52718','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096564162','1557261375.761','10.24.219.2','','10.25.0.39','','52718','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096564116','1557261129.261','10.24.219.2','','10.25.0.38','','55401','445','ET EXPLOIT ETERNALBLUE Exploit M2 MS17-010','1:2024297','0','0',
'6567504096564115','1557261128.776','10.25.0.38','','10.24.219.2','','445','55401','ET EXPLOIT Possible ETERNALBLUE MS17-010 Echo Response','1:2024218','0','0',
'6567504096564114','1557261118.15','10.25.0.38','','10.24.219.2','','445','55401','ET EXPLOIT Possible ETERNALBLUE MS17-010 Echo Response','1:2024218','0','0',
'6567504096564112','1557261115.834','10.24.219.2','','10.25.0.38','','55401','445','ET EXPLOIT Possible ETERNALBLUE MS17-010 Heap Spray','1:2024217','0','0',
'6567504096564109','1557261105.717','10.25.0.38','','10.24.219.2','','445','54120','ET EXPLOIT ETERNALBLUE Probe Vulnerable System Response MS17-010','1:2025650','0','0',
'6567504096564100','1557261083.173','10.24.219.2','','10.25.0.28','','51883','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096564101','1557261083.173','10.24.219.2','','10.25.0.28','','51883','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096564099','1557261040.947','10.24.219.2','','10.25.0.5','','63357','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096564098','1557261040.947','10.24.219.2','','10.25.0.5','','63357','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096563874','1557260398.821','10.24.219.2','','10.25.5.150','','54772','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096563875','1557260398.821','10.24.219.2','','10.25.5.150','','54772','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096563834','1557260365.094','10.24.219.2','','10.25.5.134','','50892','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096563835','1557260365.094','10.24.219.2','','10.25.5.134','','50892','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096563827','1557260332.176','10.24.219.2','','10.25.5.122','','63480','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096563828','1557260332.176','10.24.219.2','','10.25.5.122','','63480','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096563820','1557260300.365','10.24.219.2','','10.25.5.112','','59824','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096563822','1557260300.365','10.24.219.2','','10.25.5.112','','59824','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6567504096563813','1557260267.626','10.24.219.2','','10.25.5.103','','56057','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
